eqpid,description,locationid,status,eqptype,isparent,ischild,parenteqpid,batchidprefix
PEB09H18,TempSlot36-Hot,SUBUNITS,NOWIP,SPBAKE,0,-1,1PEB-09,PEB09H18
PEB09H19,TempSlot37-Hot,SUBUNITS,NOWIP,SPBAKE,0,-1,1PEB-09,PEB09H19
RC01CO01,SpinCO1,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01CO01
RC01CO02,SpinCO2,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01CO02
RC01CO03,SpinCO3,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01CO03
RC01CO04,SpinCO4,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01CO04
RC01HP01,TMSSlot11-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP01
RC01HP02,TMSSlot12-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP02
RC01HP03,TMSSlot13-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP03
RC01HP04,TempSlot14-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP04
RC01HP05,TempSlot15-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP05
RC01HP06,TempSlot16-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP06
RC01HP07,TempSlot17-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP07
RC01HP08,TempSlot11-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP08
RC01HP09,TempSlot12-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP09
RC01HP10,TempSlot13-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP10
RC01HP11,TMSSlot21-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP11
RC01HP12,TMSSlot22-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP12
RC01HP13,TMSSlot23-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP13
RC01HP14,TMSSlot31-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP14
RC01HP15,TMSSlot32-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP15
RC01HP16,TMSSlot33-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP16
RC01HP17,TMSSlot41-Hot,SPHOTO,NOWIP,SPSPIRCT,0,-1,4SRC-01,RC01HP17
RC01HP18,TMSSlot42-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP18
RC01HP19,TMSSlot43-Hot,SPHOTO,AVAIL,SPSPIRCT,0,-1,4SRC-01,RC01HP19
RC02CO01,SpinCO1,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02CO01
RC02CO02,SpinCO2,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02CO02
RC02CO03,SpinCO3,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02CO03
RC02CO04,SpinCO4,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02CO04
RC02HP01,TMSSlot11-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP01
RC02HP02,TMSSlot12-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP02
RC02HP03,TMSSlot13-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP03
RC02HP04,TempSlot14-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP04
RC02HP05,TempSlot15-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP05
RC02HP06,TempSlot16-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP06
RC02HP07,TempSlot17-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP07
RC02HP08,TempSlot11-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP08
RC02HP09,TempSlot12-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP09
RC02HP10,TempSlot13-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP10
RC02HP11,TMSSlot21-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP11
RC02HP12,TMSSlot22-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP12
RC02HP13,TMSSlot23-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP13
RC02HP14,TMSSlot31-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP14
RC02HP15,TMSSlot32-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP15
RC02HP16,TMSSlot33-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP16
RC02HP17,TMSSlot41-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP17
RC02HP18,TMSSlot42-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-02,RC02HP18
RC02HP19,TMSSlot43-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-02,RC02HP19
RC03CO01,SpinCO1,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03CO01
RC03CO03,SpinCO3,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03CO03
RC03CO04,SpinCO4,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03CO04
RC03HP02,TMSSlot12-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP02
RC03HP03,TMSSlot13-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP03
RC03HP04,TempSlot14-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP04
RC03HP05,TempSlot15-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP05
RC03HP06,TempSlot16-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP06
RC03HP07,TempSlot17-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP07
RC03HP09,TempSlot12-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP09
RC03HP10,TempSlot13-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP10
RC03HP11,TMSSlot21-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP11
RC03HP12,TMSSlot22-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP12
RC03HP13,TMSSlot23-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP13
RC03HP14,TMSSlot31-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP14
RC03HP15,TMSSlot32-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP15
RC03HP16,TMSSlot33-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP16
RC03HP17,TMSSlot41-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP17
RC03HP18,TMSSlot42-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP18
RC03HP19,TMSSlot43-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-03,RC03HP19
RC04CO01,SpinCO1,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04CO01
RC04CO02,SpinCO2,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04CO02
RC04CO04,SpinCO4,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04CO04
RC04HP01,TMSSlot11-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP01
RC04HP02,TMSSlot12-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP02
RC04HP03,TMSSlot13-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP03
RC04HP04,TempSlot14-Hot,SUBUNITS,NOWIP,SPSPIRCT,0,-1,4SRC-04,RC04HP04
RC04HP05,TempSlot15-Hot,SUBUNITS,NOWIP,SPSPIRCT,0,-1,4SRC-04,RC04HP05
RC04HP06,TempSlot16-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP06
RC04HP08,TempSlot11-Hot,SUBUNITS,NOWIP,SPSPIRCT,0,-1,4SRC-04,RC04HP08
RC04HP09,TempSlot12-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP09
RC04HP10,TempSlot13-Hot,SUBUNITS,NOWIP,SPSPIRCT,0,-1,4SRC-04,RC04HP10
RC04HP11,TMSSlot21-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP11
RC04HP13,TMSSlot23-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP13
RC04HP15,TMSSlot32-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP15
RC04HP16,TMSSlot33-Hot,SUBUNITS,NOWIP,SPSPIRCT,0,-1,4SRC-04,RC04HP16
RC04HP17,TMSSlot41-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP17
RC04HP18,TMSSlot42-Hot,SUBUNITS,NOWIP,SPSPIRCT,0,-1,4SRC-04,RC04HP18
RC04HP19,TMSSlot43-Hot,SUBUNITS,AVAIL,SPSPIRCT,0,-1,4SRC-04,RC04HP19
RC06CO01,SpinCO1,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06CO01
RC06CO02,SpinCO2,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06CO02
RC06CO03,SpinCO3,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06CO03
RC06CO04,SpinCO4,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06CO04
RC06HP01,TMSSlot11-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP01
RC06HP02,TMSSlot12-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP02
RC06HP03,TMSSlot13-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP03
RC06HP04,TempSlot14-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP04
RC06HP05,TempSlot15-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06HP05
RC06HP06,TempSlot16-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06HP06
RC06HP07,TempSlot17-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP07
RC06HP08,TempSlot11-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP08
RC06HP09,TempSlot12-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06HP09
RC06HP10,TempSlot13-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP10
RC06HP11,TMSSlot21-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06HP11
RC06HP12,TMSSlot22-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06HP12
RC06HP13,TMSSlot23-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP13
RC06HP14,TMSSlot31-Hot,SUBUNITS,AVAIL,SPSPINCT,0,-1,4SRC-06,RC06HP14
RC06HP15,TMSSlot32-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP15
RC06HP16,TMSSlot33-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP16
RC06HP17,TMSSlot41-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP17
RC06HP18,TMSSlot42-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP18
RC06HP19,TMSSlot43-Hot,SUBUNITS,NOWIP,SPSPINCT,0,-1,4SRC-06,RC06HP19
RC08CO01,SpinCO1,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08CO01
RC08CO02,SpinCO2,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08CO02
RC08CP01,TempSlot11-Cool,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08CP01
RC08CP02,TempSlot12-Cool,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08CP02
RC08CP03,TempSlot13-Cool,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08CP03
RC08HP01,TempSlot14-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08HP01
RC08HP02,TempSlot15-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,3SRC-08,RC08HP02
RC08HP03,TempSlot16-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,3SRC-08,RC08HP03
RC08HP04,TempSlot17-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08HP04
RC08HP05,TMSSlot11-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08HP05
RC08HP06,TMSSlot12-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,3SRC-08,RC08HP06
RC08HP07,TMSSlot13-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08HP07
RC08HP08,TMSSlot21-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,3SRC-08,RC08HP08
RC08HP09,TMSSlot22-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,3SRC-08,RC08HP09
RC08HP10,TMSSlot23-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,3SRC-08,RC08HP10
RC09CO01,SpinCO1,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09CO01
RC09CO02,SpinCO2,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09CO02
RC09CP01,TempSlot11-Cool,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09CP01
RC09CP02,TempSlot12-Cool,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09CP02
RC09CP03,TempSlot13-Cool,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09CP03
RC09HP01,TempSlot14-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP01
RC09HP02,TempSlot15-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP02
RC09HP03,TempSlot16-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP03
RC09HP04,TempSlot17-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,5SRC-09,RC09HP04
RC09HP05,TMSSlot11-Hot,SUBUNITS,AVAIL,3SPINCT,0,-1,5SRC-09,RC09HP05
RC09HP06,TMSSlot12-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP06
RC09HP07,TMSSlot13-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP07
RC09HP08,TMSSlot21-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP08
RC09HP09,TMSSlot22-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP09
RC09HP10,TMSSlot23-Hot,SUBUNITS,NOWIP,3SPINCT,0,-1,5SRC-09,RC09HP10
RR08B01,SOLVENT1_v1 - EMK9600,SUBUNITS,NOWIP,SLRESROM,0,-1,4RR-08,RR08B01
RR08B02,SOLVENT2_v1 - EMK9600,SUBUNITS,NOWIP,SLRESROM,0,-1,4RR-08,RR08B02
RR08B03,QDR_v1,SUBUNITS,NOWIP,SLRESROM,0,-1,4RR-08,RR08B03
RR08B04,FR_v1,SUBUNITS,NOWIP,SLRESROM,0,-1,4RR-08,RR08B04
RR11B01,Bath1,SUBUNITS,NOWIP,3LRESROM,0,-1,3RR-11,RR11B01
RR11B02,Bath2,SUBUNITS,NOWIP,3LRESROM,0,-1,3RR-11,RR11B02
RR11B05,Bath5,SUBUNITS,NOWIP,3LRESROM,0,-1,3RR-11,RR11B05
1NO-13,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-13
1NO-14,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-14
1NO-15,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-15
1NO-19,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-19
1NO-20,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-20
1NO-21,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-21
1NO-22,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-22
1NO-24,Espec Nitrogen curing oven,SPHOTO,AVAIL,SPNITOVN,0,0, ,1NO-24
1MS-01,Nikon MM-400 with Z-axis scope,SPHOTO,AVAIL,SPSCOPE,0,0, ,1MS-01
1MS-02,Nikon MM-400 with Z-axis scope,SPHOTO,AVAIL,SPSCOPE,0,0, ,1MS-02
1MS-08,Nikon MM-400 with Z-axis scope,SPHOTO,AVAIL,SPSCOPE,0,0, ,1MS-08
1OCR-05,OCR Reader,SPHOTO,AVAIL,SOCR,0,0, ,1OCR-05
1OE-07,Showa Shinku Ion Etching,SPHOTO,AVAIL,SPIONETC,-1,0, ,1OE-07
1OE-09,Showa Shinku Ion Etching,SPHOTO,AVAIL,SPIONETC,-1,0, ,1OE-09
1OVL-01,Overlay Check,SPHOTO,AVAIL,SPSCOPE,-1,0, ,1OVL-01
1OVL-02,Overlay Check,SPHOTO,AVAIL,SPSCOPE,-1,0, ,1OVL-02
1OVL-03,Overlay Check,SPHOTO,AVAIL,SPSCOPE,-1,0, ,1OVL-03
1PMC-02,Photomask cleaning machine,SPHOTO,AVAIL,SPMKSCLN,0,0, ,1PMC-02
1PMI-01,Photo Mask Inspection machine,SPHOTO,AVAIL,SPMKSCLN,0,0, ,1PMI-01
3OCR-13,BAW OCR Reader,S3PLATE,AVAIL,3OCR,0,0, ,3OCR-13
3OQCW,Outgoing QC-Wafer,S3PACK,AVAIL,3PACKMAN,0,0, ,3OQCW
3PACKW,Packing -Wafer,S3PACK,AVAIL,3PACKMAN,0,0, ,3PACKW
3PBA-06,Plating Bath Analyzer,S3PLATE,AVAIL,PBA,0,0, ,3PBA-06
3POSTTST,Network Analyzer,S3PACK,AVAIL,3PSTTST,0,0, ,3POSTTST
3PS-07,BG Tape Lamination,S3GRIND,AVAIL,3GSTICK,-1,0, ,3PS-07
3REFLOW1,Heller Reflow,S3PACK,AVAIL,3REFLOW,0,0, ,3REFLOW1
3RSM-01,Resistivity Measurement,S3SPUT,AVAIL,3SRM,0,0, ,3RSM-01
3RT-224,Rack Staging,S3SOLDER,AVAIL,3DESICC,0,0, ,3RT-224
3SFS-01,Particle Measurement,S3SOLDER,AVAIL,3SFS,0,0, ,3SFS-01
3SOAK1,Espec Temperature Humidity Cha,S3PACK,AVAIL,3SOAK,0,0, ,3SOAK1
3SRC05C1,3SRC05 Cup1,S3PHOTO,AVAIL,3SPINCTM,0,0, ,3SRC05C1
3SRC05C2,3SRC05 Cup2,S3PHOTO,AVAIL,3SPINCTM,0,0, ,3SRC05C2
3SRD-04,Spin Rinse Drying,S3PLATE,AVAIL,3PWETCLN,-1,0, ,3SRD-04
3TC1,Espec Temperature Cycling Cham,S3PACK,AVAIL,3TEMPCYC,0,0, ,3TC1
3TC2,Espec Temperature Cycling Cham,S3PACK,AVAIL,3TEMPCYC,0,0, ,3TC2
3TG-33,Digital thickness gauge,S3GRIND,AVAIL,3DTG,0,0, ,3TG-33
1PSP-02,Takatori Protective sheet peel,SPHOTO,AVAIL,SPPEEL,-1,0, ,1PSP-02
1PSP-06,Takatori Protective sheet peel,SPHOTO,AVAIL,SPPEEL,-1,0, ,1PSP-06
1SDV-15,SUSS Developer,SPHOTO,AVAIL,SPCRDEV,-1,0, ,1SDV-15
1SPL-03,Samco Surface mod Plasma Clean,SPHOTO,AVAIL,SPPLSCLN,0,0, ,1SPL-03
